id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7087327,Historic DC Condo-Walk to Capitol!,15830506,Lize & Greg,,"Capitol Hill, Lincoln Park",38.890046391229106,-77.00280809585989,Entire home/apt,160,1,0,,,18,283
975833,Spacious Capitol Hill Townhouse,5338703,Sebastian,,"Capitol Hill, Lincoln Park",38.8804128178772,-76.99048486656278,Entire home/apt,350,2,65,2015-09-28,2.11,1,343
8249488,Spacious/private room for single,1487418,Craig,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95529092001294,-76.98600573987196,Private room,50,2,1,2015-09-10,1,1,60
8409022,A wonderful bedroom with library,16970249,Christopher,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87213387626038,-77.01963879029286,Private room,95,1,0,,,1,365
8411173,Downtown Silver Spring,30369828,Joshua,,"Colonial Village, Shepherd Park, North Portal Estates",38.996381629604855,-77.04154100805377,Entire home/apt,50,7,0,,,1,351
8634774,Exclusive Catamaran Houseboat,951119,Todd,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.86248633332464,-77.01506201226306,Entire home/apt,99,1,0,,,1,361
8498095,"Cozy DC Condo, Close to Metro!",4628,Michelle,,"Takoma, Brightwood, Manor Park",38.974737662363566,-77.02707576392561,Entire home/apt,100,3,0,,,1,21
8513660,Warm and Cozy 1 Bedroom Apt,3671500,Shahrzad,,"Woodridge, Fort Lincoln, Gateway",38.941485630053414,-76.96848475174315,Entire home/apt,100,1,0,,,1,365
8298145,Private room for rent,5159038,Qianwen,,"Capitol View, Marshall Heights, Benning Heights",38.88010495915033,-76.91903054173277,Private room,38,2,1,2015-09-15,1,1,360
295345,Elite Room w/private bath Eden Park,347309,Eden Park,,"Takoma, Brightwood, Manor Park",38.9755924466805,-77.01071326308973,Private room,71,2,4,2015-05-25,0.33,2,352
1745866,"Takoma Comfort, DC Convenience",9188872,Danielle,,"Takoma, Brightwood, Manor Park",38.98006671427942,-77.01553789567818,Entire home/apt,97,4,5,2014-08-03,0.22,1,3
7678268,Great Penthouse View! Metro in 7min,21704152,Matt,,"Colonial Village, Shepherd Park, North Portal Estates",38.99593774850085,-77.03614116908322,Entire home/apt,55,3,1,2015-09-28,1,1,0
8457865,Sunny & Conveniently Located!,44519208,Angeli,,"Colonial Village, Shepherd Park, North Portal Estates",38.992049962635534,-77.04652369251919,Private room,50,2,0,,,1,365
6757134,Beautiful Private High-Rise Apt,3736766,Anne,,"Colonial Village, Shepherd Park, North Portal Estates",38.990226448992075,-77.02981677137574,Entire home/apt,99,7,0,,,1,339
295346,Renaissance Rm shared bath Eden PK,347309,Eden Park,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.97553591505653,-77.00896191706896,Private room,60,2,2,2015-05-20,0.43,2,361
8479636,Cozy private second floor,44659281,Aaron,,"Woodridge, Fort Lincoln, Gateway",38.940708848204196,-76.96570499365978,Private room,52,1,1,2015-09-27,1,1,359
2310297,Cheap room near Fort Totten Metro,11798122,Michael,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96183847862989,-76.99393298218185,Private room,23,1,1,2015-10-01,1,1,333
6556520,"Near Washington,DC",34290236,Ayesha,,"Colonial Village, Shepherd Park, North Portal Estates",38.99203001005236,-77.03090636830514,Shared room,200,1,0,,,1,363
8519782,Sweet basement suite apartment,4218349,Paul Joseph,,"North Michigan Park, Michigan Park, University Heights",38.94441967375253,-76.96808640460867,Entire home/apt,40,1,0,,,1,0
8606980,Etta Mae Inn B&B - The Kiera room,45276150,Francoise,,"Takoma, Brightwood, Manor Park",38.98394170127895,-77.01972978527805,Private room,135,1,0,,,2,365
8485995,All the comfort you need.,44546458,Afam,,"North Michigan Park, Michigan Park, University Heights",38.945508375789345,-76.97051506299728,Entire home/apt,100,1,0,,,1,365
8607216,Etta Mae Inn B&B - The Phoenix room,45276150,Francoise,,"Takoma, Brightwood, Manor Park",38.98419839899345,-77.01999601408954,Private room,225,1,0,,,2,365
8568945,Sunny Cape Cod minutes from DC,2245859,Narae,,"Takoma, Brightwood, Manor Park",38.98289926294389,-77.0176488312119,Entire home/apt,129,14,0,,,1,120
333613,CHIC DC URBAN RETREAT,966914,Annie,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92876060057413,-77.04808778036296,Entire home/apt,149,3,46,2015-10-01,1.06,1,18
